Customer,33040,7
Customer,94551,7
Customer,60304,7
Customer,33156,7
Customer,60606,7
Customer,21254,7
Customer,98052,7
Subscriber,95814,7
Customer,46614,7
Customer,60610,7
Customer,11370,7
Customer,19462,7
Customer,60035,7
Customer,91765,7
Customer,98199,7
Customer,90254,7
Customer,94545,7
Customer,94578,7
Customer,44074,7
Customer,7869,7
Customer,93021,7
Customer,11106,7
Customer,93711,7
Customer,15217,7
Customer,53703,7
Customer,53562,7
Customer,19119,7
Customer,10098,7
Customer,90505,7
Customer,43215,7
Customer,9470,7
Customer,98332,7
Customer,37923,7
Customer,55116,7
Customer,80108,7
Customer,85004,7
Customer,11226,7
Subscriber,94188,7
Customer,92651,7
Customer,20010,7
Customer,94233,7
Customer,92111,7
Customer,70129,7
Customer,80111,7
Customer,59715,7
Customer,80303,7
Customer,60201,7
Customer,85282,7
Customer,30338,7
Customer,97462,7
Customer,33193,7
Customer,52078,7
Customer,97601,7
Customer,94708,7
Customer,11101,7
Customer,92106,7
Customer,97211,7
Customer,94720,7
Customer,80203,7
Subscriber,95148,7
Customer,65814,7
Customer,90621,7
Customer,89109,7
Customer,91789,7
Customer,2888,7
Customer,90403,7
Customer,81435,7
Customer,95139,7
Customer,15221,7
Customer,99516,7
Customer,55812,7
Customer,91748,7
Customer,33154,7
Customer,85042,6
Customer,95053,6
Customer,11205,6
Customer,20016,6
Customer,55413,6
Customer,60015,6
Customer,92124,6
Customer,92626,6
Subscriber,95123,6
Customer,85215,6
Customer,94100,6
Customer,92882,6
Customer,87327,6
Customer,95337,6
Customer,6033,6
Customer,95066,6
Customer,93405,6
Customer,20164,6
Customer,6510,6
Customer,92646,6
Customer,92057,6
Customer,2120,6
Customer,95928,6
Customer,80443,6
Subscriber,94019,6
Customer,92092,6
Customer,5053,6
Customer,90211,6
Customer,2360,6
Customer,93063,6
Customer,23510,6
Customer,7023,6
Customer,33487,6
Customer,55316,6
Customer,85745,6
Customer,84405,6
Customer,92127,6
Customer,2465,6
Customer,84109,6
Customer,45220,6
Customer,15232,6
Customer,45116,6
Customer,75044,6
Customer,97222,6
Customer,93950,6
Customer,33868,6
Customer,46208,6
Customer,91040,6
Customer,63112,6
Customer,95635,6
Customer,53558,6
Customer,83233,6
Customer,93117,6
Customer,53705,6
Customer,6512,6
Customer,98407,6
Customer,98501,6
Customer,97206,6
Customer,30303,6
Customer,53578,6
Customer,1719,6
Customer,67202,6
Customer,90623,6
Customer,10583,6
Customer,73013,6
Customer,91377,6
Customer,91106,6
Customer,81541,6
Customer,10007,6
Customer,30080,6
Customer,90004,6
Customer,90703,6
Customer,95133,6
Customer,87508,6
Customer,85034,6
Customer,22204,6
Customer,18960,6
Customer,95310,6
Customer,32816,6
Customer,2882,6
Customer,76104,6
Customer,45030,6
Customer,60641,6
Customer,98065,6
Customer,89519,6
Customer,72701,6
Customer,76017,6
Customer,2134,6
Customer,94534,6
Subscriber,98040,6
Subscriber,94018,6
Customer,61801,6
Customer,7882,6
Customer,91006,6
Customer,56006,6
Customer,89074,6
Customer,93955,6
Customer,92602,6
Customer,90501,6
Customer,92054,6
Customer,53202,6
Customer,28307,6
Customer,55406,6
Subscriber,95391,6
Customer,93657,6
Customer,80306,6
Customer,94599,6
Customer,10706,6
Customer,60193,6
Customer,94505,6
Customer,96815,6
Customer,92694,6
Customer,55803,6
Customer,46074,6
Customer,92166,6
Customer,77520,6
Customer,61705,6
Customer,89144,6
Customer,78840,6
Customer,94519,6
Customer,76039,6
Customer,95618,6
Customer,85710,6
Customer,4043,6
Customer,11545,6
Customer,19123,6
Customer,3350,6
Customer,97215,6
Customer,92507,6
Customer,19803,6
Customer,19702,6
Customer,90250,5
Customer,32605,5
Customer,92421,5
Customer,27617,5
Customer,55128,5
Customer,8383,5
Customer,92592,5
Customer,60602,5
Subscriber,94302,5
Customer,94585,5
Customer,90305,5
Customer,29707,5
Customer,85327,5
Customer,60532,5
Customer,77054,5
Customer,91420,5
Customer,55343,5
Customer,2016,5
Customer,33800,5
Customer,84060,5
Customer,56001,5
Customer,7748,5
Customer,95465,5
Customer,95377,5
Subscriber,90069,5
Customer,33458,5
Customer,33137,5
Customer,80919,5
Customer,90278,5
Customer,85021,5
Customer,77450,5
Customer,3765,5
Customer,66047,5
Customer,20060,5
Customer,58260,5
Customer,4240,5
Customer,98004,5
Customer,18064,5
Customer,53213,5
Subscriber,94042,5
Subscriber,95650,5
Customer,7718,5
Customer,75201,5
Customer,6022,5
Customer,95687,5
Customer,75223,5
Customer,98005,5
Customer,9812,5
Customer,93619,5
Customer,10069,5
Customer,43085,5
Customer,75080,5
Customer,81675,5
Customer,90803,5
Customer,92807,5
Customer,20885,5
Customer,94512,5
Customer,33129,5
Customer,80210,5
Customer,32951,5
Customer,14850,5
Customer,15203,5
Customer,55416,5
Customer,45645,5
Customer,84105,5
Customer,38139,5
Customer,6511,5
Customer,6812,5
Customer,94046,5
Customer,1450,5
Customer,1050,5
Customer,60402,5
Customer,8823,5
Customer,14534,5
Customer,60607,5
Customer,80435,5
Customer,10004,5
Customer,91224,5
Customer,8534,5
Customer,11023,5
Customer,91744,5
Customer,47613,5
Customer,6359,5
Customer,11229,5
Customer,97133,5
Customer,92102,5
Customer,91506,5
Customer,13126,5
Customer,2141,5
Customer,10065,5
Customer,1071,5
Customer,97201,5
Customer,92009,5
Customer,43206,5
Customer,90815,5
Customer,6902,5
Customer,48638,5
Customer,35203,5
Customer,20036,5
Customer,95401,5
Customer,99504,5
Customer,20136,5
Customer,7306,5
Customer,94065,5
Customer,89081,5
Customer,91915,5
Customer,2125,5
Customer,10033,5
Subscriber,95134,5
Customer,97330,5
